Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Kadama,6/7/2021,"$1,700,000",,Seed,Grishin Robotics,https://www.geekwire.com/2021/seattle-tutoring-app-kadama-gets-quick-lesson-success-raises-1-7m-grows-social-following/
Gabbi,6/7/2021,"$1,000,000",,Pre-seed,,https://www.geekwire.com/2021/portland-startup-gabbi-raises-1m-develop-breast-cancer-risk-assessment-tool/
Trulioo,6/7/2021,"$394,000,000",,D,TCV,https://www.geekwire.com/2021/vancouver-identity-tech-startup-trulioo-auth0-competitor-raises-394m-1-75b-valuation/
Zenoti,6/7/2021,"$80,000,000","$330,000,000",D,TPG Capital,https://www.geekwire.com/2021/fresh-off-next-tech-titan-win-geekwire-awards-zenoti-lands-80m-total-funding-330m/
Ganaz,6/3/2021,"$7,000,000","$10,400,000",A,Trilogy Equity,https://www.geekwire.com/2021/ganaz-raises-7m-agriculture-workforce-software-will-expand-new-financial-tools/
MicrobiomX,6/3/2021,"$1,000,000",,Pre-seed,,https://www.geekwire.com/2021/gut-therapy-microbiomx-raises-1m-stool-collection-processing-device-analysis-service/
Bench,6/3/2021,"$60,000,000","$100,000,000",C,Contour Venture Partners,https://www.businesswire.com/news/home/20210603005032/en/Bench-Raises-60-Million-USD-Series-C-and-Expands-Beyond-Accounting-with-Launch-of-Bench-Banking
Solace,6/2/2021,"$1,745,000",,Seed,Rogue Venture Partners,https://www.geekwire.com/2021/cremation-services-startup-solace-raises-1-7m-interest-grows-tech-disrupt-funeral-industry/
Outreach,6/2/2021,"$200,000,000","$489,000,000",,"Premji Invest, Steadfast Capital Ventures",https://www.geekwire.com/2021/outreach-lands-200-million-pushing-valuation-sales-software-startup-4-4-billion/
Factal,6/2/2021,"$3,300,000","$4,500,000",A,Arthur Ventures,https://www.geekwire.com/2021/factal-raises-3-3m-grow-platform-alerting-companies-breaking-news-events/
Electric Era,6/1/2021,"$3,000,000","$3,700,000",Seed,REMUS Capital,https://www.geekwire.com/2021/former-spacex-employees-raise-3m-build-battery-systems-fast-charging-ev-stations/
Kineta,6/1/2021,"$10,000,000",,,Cheongbo Industrial Co Ltd ,https://kinetabio.com/2021/06/01/kineta-closes-10-million-financing-round-to-advance-anti-vista-immuno-oncology-program/
Oisín,5/27/2021,"$5,000,000","$9,500,000",Seed,Althea Group,https://www.geekwire.com/2021/oisin-raises-5m-develop-treatments-zombie-cells-associated-age-related-diseases/
Reclaim.ai,5/26/2021,"$4,800,000","$6,300,000",Seed,Index Ventures,https://www.geekwire.com/2021/calendar-assistant-startup-reclaim-ai-raises-4-8m-reports-4k-companies-using-platform/
Betacom,5/25/2021,"$15,000,000",,,,https://www.geekwire.com/2021/betacom-lands-15m-manage-private-5g-networks-relocating-florida-seattle/
BlueDot Photonics,5/25/2021,"$1,000,000",,Seed,VoLo Earth Ventures,https://www.prnewswire.com/news-releases/volo-earth-ventures-leads-series-seed-financing-for-disruptive-perovskite-company-bluedot-photonics-301298269.html
Eliem Therapeutics,5/24/2021,"$60,000,000","$140,000,000",B,"Intermediate Capital Group, RA Capital Management ",https://www.geekwire.com/2021/seattle-neurology-startup-eliem-therapeutics-raises-60m-two-months-landing-80m/
StoryTap,5/20/2021,"$2,300,000",,Seed,"Refinery Ventures, StandUp Ventures",https://storytap.com/blog/social-video-at-scale-platform-storytap-scales-up-with-seed-round-led-by-refinery-ventures-and-standup-ventures/
ToolBelt,5/20/2021,"$2,500,000",,Seed,HR Tech Investments,https://www.constructiondive.com/press-release/20210520-toolbelt-secures-25-million-round/
Dooly,5/20/2021,"$80,000,000","$100,000,000",B,Spark Capital,https://www.dooly.ai/blog/dooly-raises-80M-series-b-funding/
Educative,5/19/2021,"$12,000,000","$14,600,000",A,Matrix Partners,https://www.geekwire.com/2021/coding-skill-development-startup-educative-raises-12m-ceo-says-edtech-finally-moment/
Sparrow Pharmaceuticals,5/18/2021,"$50,000,000",,A,OrbiMed,https://www.geekwire.com/2021/tech-moves-icertis-hires-new-cmo-expedia-group-board-member-steps/
Bean Box,5/14/2021,"$2,400,000","$5,600,000",A,Ascend.VC,https://www.geekwire.com/2021/seattle-startup-bean-box-raises-2-4m-pandemic-fuels-demand-specialty-coffee-home/
Healionics,5/13/2021,"$4,700,000",,,Keiretsu Capital,https://www.geekwire.com/2021/healionics-lands-4-7m-commercialize-artificial-blood-vessel-tech/
PDM Automotive,5/13/2021,"$4,000,000",,,FUSE,https://www.geekwire.com/2021/auto-parts-data-platform-pdm-automotive-raises-4m-doubling-revenue-2020/
LumaTax,5/12/2021,"$4,000,000","$11,000,000",,Trilogy Equity Partners,https://www.geekwire.com/2021/sales-tax-compliance-audit-startup-lumatax-raises-4m/
Plunk,5/11/2021,"$5,500,000","$6,500,000",Seed,Unlock Ventures,https://www.geekwire.com/2021/will-remodel-help-boost-home-value-seattle-startup-plunk-raises-6-5m-find/
TwinStrand Biosciences,5/6/2021,"$50,000,000","$77,900,000",B,Section 32,https://www.geekwire.com/2021/seattle-startup-twinstrand-raises-50m-expand-tech-identifies-rare-genetic-mutants/
Minnow,4/28/2021,"$3,000,000","$6,400,000",Seed,Branded Strategic Hospitality,https://www.geekwire.com/2021/investors-hooked-minnow-seattle-startup-raises-3m-contactless-food-pickup-pods/
FlavorCloud,4/27/2021,"$6,300,000","$6,800,000",A,Mucker Capital,https://www.geekwire.com/2021/profitable-growing-international-shipping-startup-flavorcloud-raises-6-3m/
Clio,4/27/2021,"$110,000,000",,E,"T. Rowe Price Associates, Inc. ",https://www.geekwire.com/2021/legal-tech-startup-clio-valued-1-6b-raising-110m/
Engage Technologies Group,4/27/2021,"$15,000,000","$20,000,000",A,,https://www.geekwire.com/2021/digital-health-startup-engage-technologies-group-raises-15m-patient-education-tools/
Makara,4/26/2021,"$2,000,000",,Seed,,https://www.geekwire.com/2021/strix-leviathan-spins-makara-robo-advisor-company-helps-people-invest-crypto/
Vector Remote Care,4/26/2021,"$12,500,000",,A,Updata Partners,https://www.geekwire.com/2021/remote-cardiac-monitoring-startup-vector-remote-care-raises-12-5m/
Boundless,4/22/2021,"$25,000,000","$45,300,000",B,Foundry Group,https://www.geekwire.com/2021/immigration-startup-boundless-raises-25m-eyes-opportunity-pro-immigrant-administration/
SōRSE Technology,4/22/2021,"$2,000,000",,,Merida Capital Holdings,https://www.geekwire.com/2021/food-tech-startup-sorse-raises-cash-scale-science-used-cbd-infused-products/
Nanodropper,4/21/2021,"$1,400,000",,Seed,,https://www.geekwire.com/2021/medical-device-startup-nanodropper-raises-1-4m-eye-drop-bottle-adapter/
Teal Communications,4/20/2021,"$9,100,000",,,StageDotO Ventures,https://www.geekwire.com/2021/iot-connectivity-startup-teal-communications-raises-9-1m/
Era Software,4/20/2021,"$15,200,000","$22,000,000",A,Playground Global,https://www.geekwire.com/2021/data-infrastructure-startup-era-software-lands-15-2m-manage-cloud-native-workloads/
RBC Signals,4/20/2021,"$1,200,000","$3,200,000",,,https://www.geekwire.com/2021/rbc-signals-raises-1-2m-get-ready-coming-boom-satellite-data-traffic/
CI Security,4/20/2021,,,B,East Seattle Partners,https://www.businesswire.com/news/home/20210420005203/en/CI-Security-Closes-First-Tranche-of-Series-B-Financing-and-Announces-Record-Q1
Panopto,4/20/2021,,,,K1 Investment Management,https://www.prnewswire.com/news-releases/panopto-partners-with-k1-to-accelerate-growth-and-acquire-k-12-video-platform-301272616.html
adyn,4/19/2021,"$2,500,000",,Seed,"Lux Capital, M13",https://www.geekwire.com/2021/seattle-startup-adyn-raises-2-5m-23andme-ceo-others-birth-control-prescription-test/
Routable,4/15/2021,"$30,000,000",,B,"Sam Altman, Jack Altman",https://blog.routable.com/series-b-announcement/
2Morrow,4/14/2021,"$1,500,000","$2,900,000",,WRF Capital,https://www.geekwire.com/2021/behavioral-science-startup-2morrow-raises-1-5m-grow-digital-therapeutic-platform/
ZincFive,4/14/2021,"$33,000,000",,C,,https://www.sec.gov/Archives/edgar/data/1658385/000123191921000039/xslFormDX01/primary_doc.xml
Seeq,4/13/2021,"$50,000,000","$115,000,000",C,Insight Partners,https://www.geekwire.com/2021/seeq-lands-50m-grow-manufacturing-analytics-platform/
Dendron,4/9/2021,"$2,000,000",,Seed,,https://www.geekwire.com/2021/take-note-amazon-vets-raise-2m-dendron-tool-manage-large-amounts-information/
Spot,4/8/2021,"$1,700,000",,,Founders’ Co-op,https://www.geekwire.com/2021/outreach-founders-raise-1-7m-build-sims-enterprise-new-seattle-startup-spot/
Icosavax,4/7/2021,"$100,000,000",,B,RA Capital Management,https://www.geekwire.com/2021/univ-wash-spinout-icosavax-raises-100m-fund-vaccine-development-technology/
Darklight,4/2/2021,"$5,100,000","$10,000,000",,,https://www.geekwire.com/2021/seattle-area-ai-startup-darklight-raises-5-1m-help-companies-automate-cybersecurity-tasks/
Outpace Bio,3/31/2021,"$30,000,000","$30,000,000",A,"ARTIS Ventures, Lyell",https://www.geekwire.com/2021/seattle-biotech-startup-outpace-bio-raises-30m-fight-cancer-custom-designed-proteins/
Plus,3/29/2021,"$5,500,000",,,"Madrona Venture Group, Positive Sum",https://www.geekwire.com/2021/seattle-venture-capitalist-daniel-li-leaves-madrona-launch-new-startup-plus-just-raised-5-5m/
Advocat Technologies,3/24/2021,"$200,000","$1,000,000",,San Diego Angel Conference,https://www.geekwire.com/2021/seattle-area-legal-tech-startup-advocat-wins-top-prize-200k-san-diego-angel-conference/
iFoodDS,3/24/2021,"$15,000,000",,A,Insight Partners,https://www.geekwire.com/2021/seattle-startup-ifoodds-raises-15m-food-supply-chain-monitoring-tech/
AbSci,3/23/2021,"$125,000,000","$230,000,000",,"Casdin Capital, Redmile Group",https://www.geekwire.com/2021/biotech-startup-absci-raises-125m-protein-printing-tech-total-funding-225m/
Instashowing,3/23/2021,"$1,500,000",,,,https://www.geekwire.com/2021/trulia-founder-zillow-vets-invest-1-5m-round-new-real-estate-startup-instashowing/
Bottomless,3/19/2021,"$4,500,000","$6,550,000",A,,https://www.geekwire.com/2021/bottomless-raises-4-5m-seattle-startup-grows-team-business-around-smart-coffee-platform/
Act-On Software,3/18/2021,"$20,000,000","$82,000,000",,,https://www.geekwire.com/2021/portland-area-marketing-automation-startup-act-raises-20m/
Launchtrip,3/18/2021,"$3,800,000",,Seed,Axis Capital,https://www.prnewswire.com/news-releases/together-travel-startup-launchtrip-raises-3-8m-seed-investment-301249891.html
Deako,3/16/2021,"$12,500,000","$36,000,000",B,,https://www.geekwire.com/2021/smart-home-startup-deako-raises-12-5m-says-light-switches-becoming-industry-standard/
Ad Lighting,3/12/2021,"$344,000","$7,000,000",,,https://www.geekwire.com/2021/ad-lightning-raises-cash-new-product-helps-companies-meet-privacy-standards/
JetClosing,3/12/2021,"$11,000,000","$37,000,000",B,,https://www.geekwire.com/2021/jetclosing-closes-11m-investment-round-names-seattle-tech-vet-anna-collins-ceo/
Loftium,3/12/2021,"$10,500,000",,,,https://www.sec.gov/Archives/edgar/data/1849981/000184998121000001/xslFormDX01/primary_doc.xml
Visus Therapeutics,3/9/2021,"$36,000,000",,A,Johnson & Johnson Innovation,https://www.geekwire.com/2021/visus-therapeutics-raises-36m-jjs-vc-arm-others-develop-eye-drop-treats-presbyopia/
Tackle.io,3/9/2021,"$35,000,000",,B,Andreessen Horowitz,https://www.prnewswire.com/news-releases/tackleio-closes-series-b-financing-from-andreessen-horowitz-and-bessemer-venture-partners-to-transform-digital-experience-for-buying-and-selling-enterprise-software-301242465.html
Banzai,3/4/2021,"$15,000,000","$21,200,000",,Columbia Pacific Advisors,https://www.geekwire.com/2021/banzai-raises-15m-investors-pour-cash-virtual-event-platforms/
Aerovel,3/2/2021,"$2,500,000",,,,https://www.geekwire.com/2021/boeing-insitu-founders-raise-cash-aerovel-makes-drones-take-off-land-vertically/
Presage Biosciences,3/2/2021,"$13,000,000",,,,https://www.geekwire.com/2021/presage-biosciences-raises-13m-inks-new-deal-merck-cancer-drug-tests/
Reperio Health,3/1/2021,"$6,000,000",,Seed,"Caduceus Capital Partners, Rogue Venture Partners ",https://www.geekwire.com/2021/reperio-health-raises-6m-home-medical-test-subscription-service-aimed-employers/
Perfect Company,3/1/2021,"$2,000,000",,,Oxbridge Capital Partners,https://www.geekwire.com/2021/led-co-creator-nintendos-power-glove-startup-raised-2m-restaurant-tech/
SoundCommerce,2/23/2021,"$15,000,000","$21,500,000",A,Emergence Capital,https://www.geekwire.com/2021/soundcommerce-raises-15m-help-online-retailers-think-act-like-amazon/
Pipe17,2/18/2021,"$8,000,000",,Seed,GLP Capital Partners,https://www.geekwire.com/2021/e-commerce-logistics-startup-pipe17-raises-8m-amid-pandemic-driven-online-shopping-boom/
